Intrest_Rate,High Coupon (4%),Low Coupon (1%),Intrest Rate (1%),Rebased_High,Rebased_Low,High_yield_no_principal,High_principal_low_yield,rebased_High_yield_no_principal,rebased_High_principal_low_yield
0.1,2176.39,1246.92,0.1,100,100,1858.95,2184.02,100,100
0.5,1816.19,996.38,0.5,83.44965746,79.90729157,1639.63,1719.49,88.20194196,78.73050613
1,1465.79,759.24,1,67.34960186,60.88923107,1413.08,1282.98,76.01495468,58.74396755
1.5,1199.09,584.72,1.5,55.09536434,46.89314471,1228.73,964.65,66.09806611,44.16855157
2,994.47,455.65,2,45.69355676,36.54203959,1077.64,731.7,57.97035961,33.50244045
2.5,836.15,359.7,2.5,38.41912525,28.8470792,952.91,560.58,51.2606579,25.66734737
3,712.5,287.9,3,32.73769867,23.08889103,849.19,434.35,45.6811641,19.88763839
3.5,615.09,233.9,3.5,28.26193835,18.75822025,762.32,340.8,41.00809597,15.60425271
4,537.5,192.97,4,24.6968604,15.4757322,689.05,271.1,37.06662363,12.41288999
4.5,475.08,161.67,4.5,21.82880826,12.96554711,626.81,218.88,33.718497,10.02188625
5,424.3,137.54,5,19.49558673,11.03037885,573.57,179.48,30.85451465,8.217873463
6,347.9,103.98,6,15.98518648,8.338947166,487.99,126.63,26.25084053,5.798023828
7,294.2,82.7,7,13.51779782,6.632342091,422.92,95.09,22.75047742,4.353897858
8,254.9,68.76,8,11.71205528,5.514387451,372.27,75.48,20.02582103,3.456012308
9,225.02,59.02,9,10.33913958,4.733262759,331.99,62.71,17.85900643,2.871310702
10,201.59,51.92,10,9.262586209,4.16385975,299.32,53.96,16.10156271,2.470673345
