Month,5 Year Yields,10 Year Yields,30 Year Yields,50 Year Yields,Gilt Portfolio ETF Price,Interest Rate Percent,Interest Rate Absolute
01/09/2008,4.4,4.49,4.44,4.29,10.0035,5.00,0.05
01/10/2008,4.07,4.47,4.44,4.3,10.0435,5.00,0.05
01/12/2008,2.81,3.35,3.88,3.78,10.3066,3.00,0.03
01/04/2009,2.72,3.37,4.41,4.38,10.75,0.50,0.005
01/05/2009,2.77,3.62,4.51,4.46,10.315,0.50,0.005
01/06/2009,3.07,3.82,4.58,4.49,10.175,0.50,0.005
01/07/2009,3.1,3.8,4.49,4.42,10.25,0.50,0.005
01/09/2009,2.64,3.65,4.17,4.12,10.6,0.50,0.005
01/10/2009,2.53,3.63,4.12,4.08,10.695,0.50,0.005
01/12/2009,2.52,3.93,4.33,4.21,10.49,0.50,0.005
01/02/2010,2.92,4.09,4.53,4.41,10.31,0.50,0.005
01/03/2010,2.79,4.02,4.59,4.49,10.23,0.50,0.005
01/04/2010,2.75,4.06,4.57,4.48,10.37,0.50,0.005
01/06/2010,2.19,3.48,4.26,4.23,10.46,0.50,0.005
01/07/2010,2.08,3.37,4.22,4.18,10.605,0.50,0.005
01/09/2010,1.71,3.02,4.02,4.01,10.9,0.50,0.005
01/10/2010,1.56,2.96,4.03,4.04,10.915,0.50,0.005
01/11/2010,1.76,3.19,4.23,4.21,10.68,0.50,0.005
01/12/2010,2.06,3.5,4.34,4.28,10.52,0.50,0.005
01/02/2011,2.81,3.86,4.48,4.37,10.35,0.50,0.005
01/03/2011,2.56,3.63,4.34,4.25,10.4425,0.50,0.005
01/04/2011,2.57,3.65,4.33,4.22,10.4775,0.50,0.005
01/06/2011,1.99,3.24,4.17,4.11,10.68,0.50,0.005
01/07/2011,1.83,3.12,4.16,4.1,10.5675,0.50,0.005
01/08/2011,1.35,2.55,3.87,3.83,10.94,0.50,0.005
01/09/2011,1.22,2.48,3.64,3.67,11.1625,0.50,0.005
01/11/2011,1.27,2.23,3.18,3.15,11.58,0.50,0.005
01/12/2011,1.09,2.12,3.15,3.15,11.61,0.50,0.005
01/02/2012,1.03,2.2,3.27,3.26,11.84,0.50,0.005
01/03/2012,1.09,2.25,3.33,3.31,11.65,0.50,0.005
01/05/2012,0.86,1.87,3.16,3.23,11.5525,0.50,0.005
01/06/2012,0.72,1.68,3.02,3.12,12.125,0.50,0.005
01/08/2012,0.55,1.57,2.97,3.1,12.12,0.50,0.005
01/10/2012,0.77,1.8,3.12,3.22,12.0225,0.50,0.005
01/11/2012,0.79,1.79,3.07,3.17,11.8,0.50,0.005
01/02/2013,0.91,2.11,3.37,3.46,11.655,0.50,0.005
01/03/2013,0.79,1.9,3.23,3.33,11.815,0.50,0.005
01/05/2013,0.81,1.86,3.16,3.27,11.98,0.50,0.005
01/07/2013,1.3,2.35,3.55,3.51,11.4025,0.50,0.005
01/08/2013,1.51,2.58,3.62,3.56,11.4375,0.50,0.005
01/10/2013,1.52,2.69,3.52,3.46,11.42,0.50,0.005
01/11/2013,1.52,2.74,3.57,3.49,11.35,0.50,0.005
01/04/2014,1.91,2.68,3.46,3.39,11.4,0.50,0.005
01/05/2014,1.92,2.62,3.41,3.33,11.345,0.50,0.005
01/07/2014,2.02,2.63,3.36,3.3,11.35,0.50,0.005
01/08/2014,1.84,2.54,3.12,3.06,11.57,0.50,0.005
01/09/2014,1.79,2.49,3.11,3.07,11.855,0.50,0.005
01/10/2014,1.53,2.22,2.94,2.9,11.845,0.50,0.005
01/12/2014,1.26,1.87,2.62,2.58,12.2,0.50,0.005
01/04/2015,1.23,1.63,2.37,2.3,12.71,0.50,0.005
01/05/2015,1.44,1.93,2.61,2.52,12.26375,0.50,0.005
01/06/2015,1.51,2.05,2.76,2.65,12.2875,0.50,0.005
01/07/2015,1.52,2.01,2.73,2.62,12.005,0.50,0.005
01/09/2015,1.28,1.85,2.52,2.41,12.3275,0.50,0.005
01/10/2015,1.18,1.81,2.56,2.47,12.52375,0.50,0.005
01/12/2015,1.25,1.87,2.58,2.43,12.4275,0.50,0.005
01/02/2016,0.86,1.44,2.31,2.17,12.5675,0.50,0.005
01/03/2016,0.88,1.46,2.32,2.17,12.76,0.50,0.005
01/04/2016,0.87,1.48,2.33,2.18,12.785,0.50,0.005
01/06/2016,0.69,1.18,2.02,1.82,12.8325,0.50,0.005
01/07/2016,0.36,0.79,1.65,1.45,13.55,0.50,0.005
01/08/2016,0.21,0.59,1.35,1.21,13.665,0.50,0.005
01/09/2016,0.24,0.77,1.45,1.32,14.06,0.25,0.0025
01/11/2016,0.61,1.34,1.99,1.79,13.165,0.25,0.0025
01/12/2016,0.57,1.39,2.03,1.83,12.845,0.25,0.0025
01/02/2017,0.46,1.25,1.95,1.77,12.875,0.25,0.0025
01/03/2017,0.35,1.13,1.84,1.65,13.2625,0.25,0.0025
01/06/2017,0.49,1.04,1.71,1.55,13.2875,0.25,0.0025
01/08/2017,0.49,1.09,1.75,1.59,13.15,0.25,0.0025
01/09/2017,0.63,1.21,1.83,1.65,13.3275,0.25,0.0025
01/11/2017,0.75,1.28,1.85,1.65,13.0425,0.25,0.0025
01/12/2017,0.73,1.22,1.79,1.6,13.1775,0.50,0.005
01/02/2018,1.05,1.57,1.96,1.74,12.925,0.50,0.005
01/03/2018,1.16,1.45,1.82,1.6,13.0325,0.50,0.005
01/05/2018,1.11,1.42,1.84,1.64,13.105,0.50,0.005
01/06/2018,1.04,1.32,1.78,1.6,13.1625,0.50,0.005
01/08/2018,1.03,1.29,1.75,1.61,13.07,0.50,0.005
01/10/2018,1.13,1.56,1.94,1.86,12.92625,0.75,0.0075
01/11/2018,1,1.44,1.95,1.87,13.05,0.75,0.0075
01/02/2019,0.85,1.2,1.72,1.61,13.2075,0.75,0.0075
01/03/2019,0.88,1.14,1.65,1.55,13.13,0.75,0.0075
01/04/2019,0.87,1.14,1.67,1.55,13.4925,0.75,0.0075
01/05/2019,0.8,1.06,1.61,1.5,13.36,0.75,0.0075
01/07/2019,0.52,0.73,1.36,1.29,13.685,0.75,0.0075
01/08/2019,0.35,0.47,1.09,1.04,13.96,0.75,0.0075
01/10/2019,0.4,0.53,1.1,1.01,14.485,0.75,0.0075
01/11/2019,0.51,0.64,1.25,1.16,14.145,0.75,0.0075
01/04/2020,0.16,0.31,0.69,0.47,14.7,0.25,0.0025
01/05/2020,0.05,0.22,0.6,0.4,15.065,0.10,0.001
01/06/2020,0.01,0.23,0.66,0.49,14.965,0.10,0.001
01/07/2020,-0.08,0.15,0.64,0.49,14.885,0.10,0.001
01/09/2020,-0.08,0.21,0.77,0.62,14.5725,0.10,0.001
01/10/2020,-0.05,0.24,0.81,0.65,14.72,0.10,0.001
01/12/2020,-0.04,0.25,0.81,0.64,14.4625,0.10,0.001
01/02/2021,0.45,0.56,1.14,0.98,14.5475,0.10,0.001
01/03/2021,0.45,0.78,1.31,1.14,13.805,0.10,0.001
01/04/2021,0.45,0.77,1.3,1.11,13.7775,0.10,0.001
01/06/2021,0.45,0.76,1.28,1.11,13.73,0.10,0.001
01/07/2021,0.37,0.61,1.09,0.92,13.885,0.10,0.001
01/09/2021,0.47,0.81,1.13,0.94,14.21,0.10,0.001
01/10/2021,0.76,1.1,1.36,1.15,13.67,0.10,0.001
01/11/2021,0.69,0.93,1.05,0.82,13.91,0.10,0.001
01/12/2021,0.65,0.81,0.95,0.69,14.245,0.10,0.001
01/02/2022,1.31,1.44,1.54,1.31,13.415,0.25,0.0025
01/03/2022,1.28,1.52,1.71,1.51,13.65,0.50,0.005
01/04/2022,1.58,1.81,1.94,1.71,12.955,0.75,0.0075
01/06/2022,2.05,2.39,2.6,2.39,12.115,1.00,0.01
01/07/2022,1.76,2.05,2.53,2.37,12.1,1.25,0.0125
01/08/2022,2.09,2.23,2.58,2.4,12.37,1.25,0.0125
01/09/2022,3.43,3.39,3.63,3.32,11.1475,2.25,0.0225
