Country,Last
Japan,-0.1
Cape Verde,0.25
Fiji,0.25
Bulgaria,0.49
Cambodia,0.7
Switzerland,1
Thailand,1.25
Singapore,1.65
Denmark,1.75
Taiwan,1.75
Comoros,1.86
Barbados,2
Seychelles,2
Belize,2.25
Cuba,2.25
New Caledonia,2.25
Croatia,2.5
Euro Area,2.5
Morocco,2.5
Sweden,2.5
Botswana,2.65
Albania,2.75
Malaysia,2.75
Norway,2.75
Algeria,3
Honduras,3
Libya,3
Australia,3.1
Israel,3.25
Papua New Guinea,3.25
South Korea,3.25
Kuwait,3.5
Trinidad and Tobago,3.5
United Kingdom,3.5
China,3.65
Guatemala,3.75
Bosnia and Herzegovina,3.77
Bahamas,4
Iraq,4
Canada,4.25
Macedonia,4.25
New Zealand,4.25
United Arab Emirates,4.4
Bolivia,4.42
Benin,4.5
Burkina Faso,4.5
Cameroon,4.5
Central African Republic,4.5
Chad,4.5
Equatorial Guinea,4.5
Gabon,4.5
Guinea Bissau,4.5
Ivory Coast,4.5
Mali,4.5
Mauritius,4.5
Niger,4.5
Oman,4.5
Republic of the Congo,4.5
Senegal,4.5
Togo,4.5
United States,4.5
El Salvador,4.73
Hong Kong,4.75
Macau,4.75
Guyana,5
Saudi Arabia,5
Serbia,5
Tanzania,5
Bahrain,5.25
Brunei,5.5
Indonesia,5.5
Philippines,5.5
Qatar,5.5
Bangladesh,5.75
Iceland,6
Vietnam,6
India,6.25
Jordan,6.5
Laos,6.5
Rwanda,6.5
Swaziland,6.5
Burundi,6.73
Namibia,6.75
Poland,6.75
Romania,6.75
Czech Republic,7
Ethiopia,7
Jamaica,7
Lesotho,7
Maldives,7
Mauritania,7
Myanmar,7
South Africa,7
Bhutan,7.16
Tunisia,7.25
Congo,7.5
Peru,7.5
Russia,7.5
Lebanon,7.75
Azerbaijan,8.25
Ecuador,8.49
Dominican Republic,8.5
Nepal,8.5
Paraguay,8.5
Kenya,8.75
Nicaragua,8.87
Costa Rica,9
Turkey,9
Zambia,9
Madagascar,9.5
Sao Tome and Principe,10
Suriname,10
Uganda,10
Mexico,10.5
Armenia,10.75
Georgia,11
Chile,11.25
Uruguay,11.25
Guinea,11.5
Belarus,12
Colombia,12
Gambia,12
South Sudan,12
Hungary,13
Kyrgyzstan,13
Mongolia,13
Tajikistan,13
Brazil,13.75
Sri Lanka,14.5
Liberia,15
Uzbekistan,15
Pakistan,16
Egypt,16.25
Nigeria,16.5
Kazakhstan,16.75
Haiti,17
Sierra Leone,17
Mozambique,17.25
Iran,18
Malawi,18
Angola,19.5
Moldova,20
Ukraine,25
Ghana,27
Sudan,27.3
Venezuela,57.45
Argentina,75
Zimbabwe,200
