Calender_Year,Global_GDP_by GRA_Purchases
1984,2,617.89
1985,3,405.31
1986,4,105.86
1987,5,218.09
1988,7,563.76
1989,5,782.05
1990,5,378.18
1991,3,703.30
1992,5,403.95
1993,4,194.96
1994,5,577.27
1995,1,819.63
1996,5,988.87
1997,1,952.44
1998,1,524.47
1999,3,251.67
2000,4,681.98
2001,1,406.08
2002,1,374.83
2003,1,915.96
2004,10,515.87
2005,20,755.52
2006,21,723.70
2007,60,454.81
2008,4,737.43
2009,2,951.85
2010,3,252.98
2011,2,181.33
2012,4,999.89
2013,5,707.86
2014,7,459.29
2015,9,080.95
2016,13,328.74
2017,16,802.72
